type	GSM
timestamp	12:04:33	13-June-2026
resolution	23
xmin	-79.02458269
xmax	-78.98328462
ymin	-2.914140518
ymax	-2.875179666
x_num_pixels	200
y_num_pixels	187


-79.01341353;-2.914120771;	Site2_4;-102.0000
-79.01320670;-2.914120404;	Site2_4;-102.0000
-79.01299986;-2.914120038;	Site2_4;-102.0000
-79.01279303;-2.914119671;	Site2_4;-102.0000
-79.01258619;-2.914119304;	Site2_4;-102.0000
-79.01237936;-2.914118937;	Site2_4;-102.0000
-78.99645312;-2.914090572;	Site2_1;-102.0000
-78.99624629;-2.914090203;	Site2_1;-102.0000
-78.99603945;-2.914089833;	Site2_1;-102.0000
-78.99583262;-2.914089463;	Site2_1;-102.0000
-78.99562579;-2.914089093;	Site2_1;-102.0000
-78.99541895;-2.914088723;	Site2_1;-102.0000
-78.99521212;-2.914088353;	Site2_1;-102.0000
-78.99500529;-2.914087983;	Site2_1;-102.0000
-78.99479845;-2.914087613;	Site2_1;-102.0000
-78.99459162;-2.914087242;	Site2_1;-102.0000
-78.99438479;-2.914086872;	Site2_1;-102.0000
-78.99417795;-2.914086502;	Site2_1;-102.0000
-79.01486175;-2.91391538;	Site2_4;-102.0000
-79.01465491;-2.913915014;	Site2_4;-102.0000
-79.01444808;-2.913914647;	Site2_4;-101.9375
-79.01424124;-2.913914281;	Site2_4;-101.9375
-79.01403441;-2.913913914;	Site2_4;-101.9375
-79.01382757;-2.913913548;	Site2_4;-101.9375
-79.01362073;-2.913913181;	Site2_4;-101.8750
-79.01341390;-2.913912815;	Site2_4;-101.8125
-79.01320706;-2.913912448;	Site2_4;-101.8125
-79.01300023;-2.913912081;	Site2_4;-101.7500
-79.01279339;-2.913911714;	Site2_4;-101.7500
-79.01258656;-2.913911347;	Site2_4;-101.7500
-79.01237972;-2.913910981;	Site2_4;-101.7500
-79.01217289;-2.913910614;	Site2_4;-101.8125
-79.01196605;-2.913910247;	Site2_4;-101.8750
-79.01175922;-2.91390988;	Site2_4;-101.8750
-79.01155238;-2.913909513;	Site2_4;-101.8750
-79.01134555;-2.913909146;	Site2_4;-101.9375
-79.01113871;-2.913908779;	Site2_4;-101.9375
-79.01093188;-2.913908412;	Site2_4;-101.9375
-79.01072504;-2.913908044;	Site2_4;-101.9375
-79.01051821;-2.913907677;	Site2_4;-102.0000
-78.99769449;-2.913884836;	Site2_1;-102.0000
-78.99748765;-2.913884467;	Site2_1;-102.0000
-78.99728082;-2.913884097;	Site2_1;-101.9375
-78.99707399;-2.913883727;	Site2_1;-101.8750
-78.99686715;-2.913883358;	Site2_1;-101.8125
-78.99666032;-2.913882988;	Site2_1;-101.8125
-78.99645349;-2.913882618;	Site2_1;-101.8125
-78.99624665;-2.913882248;	Site2_1;-101.8125
-78.99603982;-2.913881878;	Site2_1;-101.8125
-78.99583299;-2.913881509;	Site2_1;-101.7500
-78.99562615;-2.913881139;	Site2_1;-101.7500
-78.99541932;-2.913880769;	Site2_1;-101.7500
-78.99521249;-2.913880399;	Site2_1;-101.7500
-78.99500565;-2.913880029;	Site2_1;-101.7500
-78.99479882;-2.913879658;	Site2_1;-101.8125
-78.99459199;-2.913879288;	Site2_1;-101.8125
-78.99438516;-2.913878918;	Site2_1;-101.8125
-78.99417832;-2.913878548;	Site2_1;-101.8125
-78.99397149;-2.913878178;	Site2_1;-101.8125
-78.99376466;-2.913877807;	Site2_1;-101.8750
-78.99355782;-2.913877437;	Site2_1;-101.9375
-78.99335099;-2.913877067;	Site2_1;-102.0000
-78.99314416;-2.913876696;	Site2_1;-102.0000
