run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T21:49:12,3.084,0.235,0.038,0.0,5.28,5.2823,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-11T21:49:17,2.56,0.233,0.038,0.0,4.82,4.8195,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-11T21:49:21,2.606,0.236,0.036,0.0,4.84,4.8425,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-11T21:49:26,2.554,0.234,0.037,0.0,4.77,4.7735,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-11T21:49:31,2.56,0.239,0.037,0.0,4.76,4.7579,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-11T21:49:36,2.593,0.241,0.037,0.0,4.8,4.8039,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-11T21:49:41,2.698,0.241,0.037,0.0,4.94,4.9352,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-11T21:49:46,2.606,0.235,0.038,0.0,4.86,4.8651,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-11T21:49:50,2.542,0.24,0.036,0.0,4.77,4.7669,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-11T21:49:55,2.532,0.237,0.036,0.0,4.79,4.789,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-11T21:50:00,2.561,0.235,0.036,0.0,4.75,4.7472,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
