run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T21:50:15,7.976,0.265,0.115,0.0,14.22,14.2166,False,CPU Only
1,False,2026-06-11T21:50:29,7.791,0.263,0.112,0.0,13.96,13.9625,False,CPU Only
2,False,2026-06-11T21:50:43,7.683,0.274,0.112,0.0,14.21,14.2137,False,CPU Only
3,False,2026-06-11T21:50:57,7.761,0.257,0.113,0.0,13.96,13.9571,False,CPU Only
4,False,2026-06-11T21:51:11,7.806,0.262,0.114,0.0,13.98,13.9781,False,CPU Only
5,False,2026-06-11T21:51:25,7.886,0.258,0.114,0.0,13.96,13.9642,False,CPU Only
6,False,2026-06-11T21:51:39,7.884,0.256,0.112,0.0,14.48,14.4856,False,CPU Only
7,False,2026-06-11T21:51:53,7.775,0.257,0.112,0.0,13.87,13.8736,False,CPU Only
8,False,2026-06-11T21:52:07,7.987,0.257,0.113,0.0,14.08,14.0826,False,CPU Only
9,False,2026-06-11T21:52:21,7.864,0.266,0.116,0.0,13.96,13.9641,False,CPU Only
10,False,2026-06-11T21:52:35,7.746,0.255,0.112,0.0,13.83,13.8287,False,CPU Only
