run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T20:38:41,3.831,0.057,0.304,0.023,0.0,5.58,5.5789,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T20:38:47,3.848,0.058,0.291,0.026,0.0,5.69,5.696,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T20:38:52,3.909,0.0512,0.349,0.027,0.0,5.67,5.6734,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T20:38:58,3.818,0.0619,0.309,0.022,0.0,5.49,5.4944,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T20:39:03,3.715,0.0512,0.313,0.026,0.0,5.41,5.4079,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T20:39:09,3.743,0.0555,0.299,0.025,0.0,5.45,5.4492,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T20:39:14,3.581,0.0651,0.294,0.025,0.0,5.24,5.238,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T20:39:19,3.679,0.0564,0.299,0.022,0.0,5.43,5.4315,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T20:39:25,3.767,0.0624,0.314,0.03,0.0,5.52,5.523,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T20:39:30,4.066,0.0368,0.296,0.021,0.0,5.76,5.7645,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T20:39:36,3.617,0.0523,0.305,0.023,0.0,5.32,5.3232,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T20:39:41,3.653,0.0536,0.301,0.026,0.0,5.31,5.3148,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T20:39:47,3.708,0.0528,0.3,0.023,0.0,5.39,5.3928,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T20:39:53,4.071,0.0742,0.41,0.025,0.0,6.08,6.0832,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T20:39:59,4.213,0.0594,0.355,0.022,0.0,5.94,5.9401,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T20:40:04,3.806,0.0592,0.329,0.025,0.0,5.63,5.6293,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T20:40:09,3.643,0.0596,0.297,0.029,0.0,5.31,5.312,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T20:40:15,3.533,0.0667,0.321,0.022,0.0,5.21,5.2067,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T20:40:20,3.556,0.0484,0.358,0.02,0.0,5.29,5.2885,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T20:40:25,3.66,0.0525,0.306,0.02,0.0,5.3,5.3032,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T20:40:31,3.654,0.0526,0.289,0.02,0.0,5.29,5.2909,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
