run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T20:40:42,7.897,0.0984,0.299,0.051,0.0,10.98,10.9826,1,cost231_hata,False,CPU Only
1,False,2026-06-13T20:40:53,7.774,0.1004,0.305,0.046,0.0,10.95,10.9473,1,cost231_hata,False,CPU Only
2,False,2026-06-13T20:41:04,7.635,0.0928,0.286,0.058,0.0,10.73,10.7271,1,cost231_hata,False,CPU Only
3,False,2026-06-13T20:41:15,7.476,0.1087,0.307,0.053,0.0,10.52,10.518,1,cost231_hata,False,CPU Only
4,False,2026-06-13T20:41:25,7.668,0.1053,0.297,0.048,0.0,10.7,10.7052,1,cost231_hata,False,CPU Only
5,False,2026-06-13T20:41:36,7.411,0.0931,0.28,0.043,0.0,10.34,10.3445,1,cost231_hata,False,CPU Only
6,False,2026-06-13T20:41:46,7.398,0.117,0.298,0.048,0.0,10.38,10.3775,1,cost231_hata,False,CPU Only
7,False,2026-06-13T20:41:56,7.517,0.095,0.265,0.049,0.0,10.49,10.4885,1,cost231_hata,False,CPU Only
8,False,2026-06-13T20:42:07,7.791,0.0926,0.301,0.061,0.0,11.03,11.0266,1,cost231_hata,False,CPU Only
9,False,2026-06-13T20:42:18,7.454,0.0952,0.278,0.055,0.0,10.65,10.6491,1,cost231_hata,False,CPU Only
10,False,2026-06-13T20:42:29,7.552,0.0988,0.288,0.045,0.0,10.62,10.6283,1,cost231_hata,False,CPU Only
11,False,2026-06-13T20:42:39,7.317,0.0914,0.281,0.048,0.0,10.47,10.4712,1,cost231_hata,False,CPU Only
12,False,2026-06-13T20:42:49,7.295,0.1092,0.288,0.063,0.0,10.26,10.2577,1,cost231_hata,False,CPU Only
13,False,2026-06-13T20:43:00,7.381,0.0949,0.285,0.053,0.0,10.3,10.3,1,cost231_hata,False,CPU Only
14,False,2026-06-13T20:43:10,7.353,0.1016,0.292,0.046,0.0,10.31,10.3081,1,cost231_hata,False,CPU Only
15,False,2026-06-13T20:43:21,7.464,0.1145,0.286,0.045,0.0,10.46,10.4609,1,cost231_hata,False,CPU Only
16,False,2026-06-13T20:43:31,7.375,0.0975,0.287,0.045,0.0,10.43,10.4263,1,cost231_hata,False,CPU Only
17,False,2026-06-13T20:43:41,7.373,0.1246,0.316,0.045,0.0,10.5,10.5013,1,cost231_hata,False,CPU Only
18,False,2026-06-13T20:43:52,7.369,0.0935,0.285,0.043,0.0,10.32,10.3168,1,cost231_hata,False,CPU Only
19,False,2026-06-13T20:44:02,7.311,0.1067,0.305,0.048,0.0,10.28,10.2788,1,cost231_hata,False,CPU Only
20,False,2026-06-13T20:44:12,7.187,0.0923,0.321,0.044,0.0,10.28,10.2807,1,cost231_hata,False,CPU Only
