run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:36:18,11.485,0.138,1.079,0.018,0.319,17.23,17.2314,5,cost231_hata,False,CPU Only
1,False,2026-06-13T21:36:35,11.686,0.1362,1.117,0.016,0.331,17.66,17.6643,5,cost231_hata,False,CPU Only
2,False,2026-06-13T21:36:53,11.535,0.1372,1.056,0.015,0.346,17.28,17.2788,5,cost231_hata,False,CPU Only
3,False,2026-06-13T21:37:10,11.583,0.1321,1.081,0.014,0.329,17.24,17.2444,5,cost231_hata,False,CPU Only
4,False,2026-06-13T21:37:28,11.855,0.1514,1.094,0.016,0.324,17.63,17.6337,5,cost231_hata,False,CPU Only
5,False,2026-06-13T21:37:45,11.565,0.1529,1.06,0.017,0.325,17.18,17.1786,5,cost231_hata,False,CPU Only
6,False,2026-06-13T21:38:02,11.405,0.1392,1.036,0.015,0.359,17.16,17.1622,5,cost231_hata,False,CPU Only
7,False,2026-06-13T21:38:19,11.296,0.1393,1.031,0.014,0.329,16.87,16.8719,5,cost231_hata,False,CPU Only
8,False,2026-06-13T21:38:36,11.394,0.1362,1.025,0.016,0.35,17.11,17.1121,5,cost231_hata,False,CPU Only
9,False,2026-06-13T21:38:53,11.558,0.1325,1.014,0.014,0.335,17.23,17.2345,5,cost231_hata,False,CPU Only
10,False,2026-06-13T21:39:10,11.173,0.135,1.015,0.016,0.321,16.74,16.7449,5,cost231_hata,False,CPU Only
11,False,2026-06-13T21:39:27,11.373,0.1405,1.015,0.017,0.347,17.03,17.0358,5,cost231_hata,False,CPU Only
12,False,2026-06-13T21:39:45,11.933,0.1409,1.055,0.015,0.326,17.64,17.6468,5,cost231_hata,False,CPU Only
13,False,2026-06-13T21:40:02,11.955,0.1541,1.12,0.015,0.343,17.88,17.881,5,cost231_hata,False,CPU Only
14,False,2026-06-13T21:40:20,11.471,0.1493,1.09,0.017,0.328,17.2,17.2064,5,cost231_hata,False,CPU Only
15,False,2026-06-13T21:40:36,11.185,0.1402,1.06,0.014,0.324,16.77,16.7723,5,cost231_hata,False,CPU Only
16,False,2026-06-13T21:40:53,11.242,0.133,1.042,0.015,0.341,16.84,16.8434,5,cost231_hata,False,CPU Only
17,False,2026-06-13T21:41:11,11.837,0.1483,1.048,0.018,0.325,17.45,17.4552,5,cost231_hata,False,CPU Only
18,False,2026-06-13T21:41:28,11.339,0.1378,1.09,0.014,0.342,17.11,17.1107,5,cost231_hata,False,CPU Only
19,False,2026-06-13T21:41:45,11.533,0.1588,1.155,0.014,0.344,17.37,17.3742,5,cost231_hata,False,CPU Only
20,False,2026-06-13T21:42:02,11.421,0.1351,1.047,0.014,0.328,17.05,17.0572,5,cost231_hata,False,CPU Only
