run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:42:20,11.451,0.1942,1.036,0.02,0.326,17.09,17.0963,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T21:42:37,11.248,0.1925,1.022,0.014,0.325,16.95,16.9474,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T21:42:54,11.586,0.1657,1.065,0.017,0.439,17.48,17.4838,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T21:43:13,12.313,0.1738,1.093,0.02,0.326,18.18,18.1776,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T21:43:30,11.858,0.1644,1.044,0.015,0.345,17.7,17.7033,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T21:43:47,11.387,0.213,1.079,0.016,0.335,17.16,17.1621,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T21:44:05,11.43,0.1846,1.073,0.016,0.327,17.2,17.2006,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T21:44:22,11.236,0.1871,1.045,0.016,0.338,16.97,16.975,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T21:44:39,11.485,0.1912,1.034,0.014,0.331,17.26,17.2617,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T21:44:56,11.486,0.1879,1.03,0.015,0.355,17.18,17.178,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T21:45:13,11.356,0.1817,1.059,0.015,0.337,17.08,17.0796,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T21:45:30,11.449,0.2192,1.033,0.015,0.336,17.18,17.1865,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T21:45:48,11.718,0.2224,1.063,0.017,0.332,17.6,17.6005,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T21:46:05,11.377,0.2235,1.105,0.016,0.342,17.35,17.3543,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T21:46:23,11.708,0.2355,1.129,0.014,0.359,17.76,17.7636,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T21:46:41,11.596,0.2164,1.121,0.016,0.336,17.71,17.7112,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T21:46:59,12.253,0.2493,1.101,0.014,0.348,18.27,18.2708,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T21:47:17,11.912,0.1976,1.111,0.015,0.355,17.89,17.8918,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T21:47:35,11.869,0.2073,1.06,0.018,0.345,17.78,17.7817,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T21:47:53,12.311,0.1998,1.133,0.015,0.383,18.36,18.364,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T21:48:11,12.243,0.1955,1.102,0.015,0.339,18.17,18.176,5,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
