run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:48:30,13.043,0.9751,0.943,0.072,0.286,18.52,18.5243,5,itu_p1546,False,CPU Only
1,False,2026-06-13T21:48:49,13.079,0.921,0.938,0.014,0.278,18.46,18.4622,5,itu_p1546,False,CPU Only
2,False,2026-06-13T21:49:07,12.887,0.9953,0.9,0.014,0.29,18.28,18.2873,5,itu_p1546,False,CPU Only
3,False,2026-06-13T21:49:27,13.641,0.9455,0.943,0.016,0.287,19.35,19.3481,5,itu_p1546,False,CPU Only
4,False,2026-06-13T21:49:46,13.437,1.0013,0.936,0.016,0.283,18.97,18.9687,5,itu_p1546,False,CPU Only
5,False,2026-06-13T21:50:04,13.351,0.9431,0.96,0.016,0.287,18.95,18.9558,5,itu_p1546,False,CPU Only
6,False,2026-06-13T21:50:24,13.55,0.9767,0.934,0.014,0.334,19.16,19.1628,5,itu_p1546,False,CPU Only
7,False,2026-06-13T21:50:43,13.906,1.0041,0.965,0.014,0.326,19.67,19.6719,5,itu_p1546,False,CPU Only
8,False,2026-06-13T21:51:05,15.179,1.0589,1.06,0.015,0.354,21.38,21.3848,5,itu_p1546,False,CPU Only
9,False,2026-06-13T21:51:31,18.758,1.2852,1.256,0.02,0.404,25.87,25.87,5,itu_p1546,False,CPU Only
10,False,2026-06-13T21:51:52,15.034,1.0606,1.012,0.017,0.324,21.18,21.1848,5,itu_p1546,False,CPU Only
11,False,2026-06-13T21:52:12,13.923,1.0438,1.006,0.014,0.34,19.79,19.7893,5,itu_p1546,False,CPU Only
12,False,2026-06-13T21:52:31,13.835,1.0137,1.013,0.015,0.311,19.69,19.6957,5,itu_p1546,False,CPU Only
13,False,2026-06-13T21:52:51,14.312,1.0412,0.985,0.019,0.356,20.2,20.2065,5,itu_p1546,False,CPU Only
14,False,2026-06-13T21:53:12,14.41,1.0839,1.031,0.018,0.308,20.26,20.2626,5,itu_p1546,False,CPU Only
15,False,2026-06-13T21:53:30,13.321,0.9472,0.925,0.016,0.286,18.7,18.6975,5,itu_p1546,False,CPU Only
16,False,2026-06-13T21:53:48,12.66,0.9061,0.903,0.015,0.293,18.04,18.0465,5,itu_p1546,False,CPU Only
17,False,2026-06-13T21:54:07,13.399,0.9177,0.897,0.015,0.29,18.78,18.7818,5,itu_p1546,False,CPU Only
18,False,2026-06-13T21:54:26,12.902,0.9869,0.937,0.019,0.306,18.5,18.4992,5,itu_p1546,False,CPU Only
19,False,2026-06-13T21:54:44,12.931,0.9295,0.925,0.015,0.331,18.37,18.376,5,itu_p1546,False,CPU Only
20,False,2026-06-13T21:55:04,13.544,0.9252,0.965,0.015,0.398,19.41,19.4144,5,itu_p1546,False,CPU Only
