run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:55:24,14.029,1.0268,1.05,0.019,0.408,20.0,19.9983,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T21:55:43,12.85,0.7888,0.945,0.017,0.302,18.3,18.3048,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T21:56:02,13.725,0.7445,0.926,0.016,0.308,19.26,19.2656,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T21:56:22,14.469,1.0174,1.074,0.015,0.318,20.6,20.6059,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T21:56:41,13.543,0.9193,0.916,0.014,0.297,18.99,18.9968,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T21:57:00,12.997,0.9725,0.951,0.015,0.284,18.42,18.4195,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T21:57:18,13.108,0.9834,0.967,0.015,0.291,18.56,18.5694,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T21:57:38,13.391,1.0972,0.991,0.016,0.391,19.3,19.3001,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T21:57:58,14.532,0.9739,1.036,0.016,0.284,20.34,20.3428,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T21:58:17,13.261,1.028,0.952,0.015,0.28,18.73,18.7308,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T21:58:35,13.208,1.0392,0.991,0.014,0.303,18.72,18.7259,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T21:58:54,13.24,1.036,0.954,0.015,0.278,18.72,18.7232,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T21:59:13,13.604,1.0131,0.921,0.016,0.277,18.98,18.9832,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T21:59:32,12.952,0.9683,0.909,0.015,0.288,18.3,18.3015,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T21:59:50,13.064,1.0377,0.902,0.015,0.273,18.37,18.3686,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T22:00:08,13.103,0.8248,0.92,0.015,0.278,18.44,18.4414,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T22:00:28,13.869,1.0638,0.978,0.016,0.286,19.41,19.4108,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T22:00:46,12.981,0.9782,0.91,0.015,0.274,18.34,18.3404,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T22:01:04,12.919,0.9103,0.918,0.014,0.283,18.27,18.2673,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T22:01:23,12.897,0.9772,0.911,0.016,0.295,18.28,18.285,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T22:01:41,13.352,0.9877,0.924,0.014,0.302,18.79,18.7923,5,itu_p1546,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
