run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:23:49,11.709,0.1422,1.079,0.035,0.328,17.48,17.4818,5,okumura_hata,False,CPU Only
1,False,2026-06-13T21:24:07,12.437,0.1513,1.101,0.015,0.341,18.35,18.3518,5,okumura_hata,False,CPU Only
2,False,2026-06-13T21:24:24,11.502,0.1338,1.059,0.014,0.345,17.2,17.2011,5,okumura_hata,False,CPU Only
3,False,2026-06-13T21:24:41,11.365,0.1367,1.044,0.015,0.351,16.97,16.9768,5,okumura_hata,False,CPU Only
4,False,2026-06-13T21:24:59,11.818,0.145,1.092,0.018,0.351,17.64,17.6394,5,okumura_hata,False,CPU Only
5,False,2026-06-13T21:25:16,11.274,0.1347,1.062,0.016,0.327,16.94,16.9459,5,okumura_hata,False,CPU Only
6,False,2026-06-13T21:25:33,11.302,0.146,1.088,0.014,0.329,17.02,17.026,5,okumura_hata,False,CPU Only
7,False,2026-06-13T21:25:49,11.167,0.1316,1.097,0.014,0.328,16.82,16.8229,5,okumura_hata,False,CPU Only
8,False,2026-06-13T21:26:07,11.919,0.1395,1.082,0.014,0.392,17.73,17.7367,5,okumura_hata,False,CPU Only
9,False,2026-06-13T21:26:24,11.401,0.1386,1.06,0.016,0.342,17.16,17.163,5,okumura_hata,False,CPU Only
10,False,2026-06-13T21:26:41,11.222,0.1353,1.073,0.015,0.338,16.84,16.8384,5,okumura_hata,False,CPU Only
11,False,2026-06-13T21:26:59,11.721,0.1455,1.074,0.015,0.338,17.44,17.4471,5,okumura_hata,False,CPU Only
12,False,2026-06-13T21:27:17,12.221,0.1519,1.097,0.018,0.323,18.07,18.0757,5,okumura_hata,False,CPU Only
13,False,2026-06-13T21:27:34,11.231,0.1461,1.051,0.015,0.338,16.9,16.9074,5,okumura_hata,False,CPU Only
14,False,2026-06-13T21:27:51,11.227,0.1378,1.085,0.017,0.345,16.93,16.9299,5,okumura_hata,False,CPU Only
15,False,2026-06-13T21:28:08,12.055,0.1536,1.103,0.015,0.335,17.87,17.872,5,okumura_hata,False,CPU Only
16,False,2026-06-13T21:28:26,12.146,0.1492,1.074,0.017,0.334,17.97,17.9732,5,okumura_hata,False,CPU Only
17,False,2026-06-13T21:28:44,11.683,0.1377,1.075,0.016,0.329,17.41,17.4112,5,okumura_hata,False,CPU Only
18,False,2026-06-13T21:29:02,11.912,0.1446,1.104,0.014,0.37,17.78,17.7854,5,okumura_hata,False,CPU Only
19,False,2026-06-13T21:29:20,12.227,0.1605,1.115,0.016,0.347,18.13,18.1326,5,okumura_hata,False,CPU Only
20,False,2026-06-13T21:29:39,13.345,0.1547,1.219,0.018,0.372,19.71,19.7081,5,okumura_hata,False,CPU Only
