run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T21:30:03,15.29,0.161,1.31,0.016,0.467,22.57,22.5753,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T21:30:27,16.892,0.253,1.474,0.018,0.456,24.64,24.6431,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T21:30:50,15.667,0.2033,1.296,0.015,0.353,22.51,22.5111,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T21:31:08,12.349,0.23,1.129,0.016,0.387,18.52,18.5215,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T21:31:27,12.334,0.2165,1.133,0.016,0.364,18.69,18.6922,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T21:31:44,11.383,0.1762,1.046,0.015,0.34,17.12,17.1224,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T21:32:02,11.825,0.1844,1.072,0.016,0.33,17.71,17.7148,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T21:32:19,11.183,0.184,1.009,0.016,0.319,16.74,16.7438,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T21:32:36,11.563,0.1732,1.06,0.014,0.333,17.24,17.247,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T21:32:53,11.128,0.1739,1.019,0.015,0.357,16.84,16.843,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T21:33:11,11.997,0.1552,1.157,0.014,0.32,17.87,17.8735,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T21:33:28,11.374,0.2184,1.039,0.015,0.322,17.04,17.0427,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T21:33:44,11.091,0.1814,1.051,0.016,0.324,16.71,16.7126,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T21:34:01,11.108,0.1842,1.025,0.015,0.354,16.78,16.7857,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T21:34:19,11.651,0.1847,1.065,0.014,0.357,17.38,17.3868,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T21:34:35,11.136,0.1822,1.028,0.014,0.332,16.71,16.7092,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T21:34:52,11.092,0.174,1.053,0.016,0.321,16.72,16.7208,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T21:35:09,11.368,0.2014,1.035,0.014,0.361,17.08,17.0797,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T21:35:26,11.451,0.1742,1.034,0.016,0.328,17.16,17.1615,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T21:35:43,11.116,0.1741,1.019,0.015,0.321,16.71,16.7093,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T21:36:00,11.429,0.1632,1.031,0.017,0.326,17.05,17.0571,5,okumura_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
