model_label,metric,cpu_median_s,gpu_median_s,speedup,cpu_cv_pct,gpu_cv_pct,n_cpu_runs,n_gpu_runs
okumura_hata,coverage_s,11.702,11.406,1.026,4.66,12.89,20,20
okumura_hata,pathloss_s,0.1448,0.1831,0.7908,5.61,12.74,20,20
okumura_hata,render_s,1.0835,1.0485,1.0334,3.34,10.35,20,20
okumura_hata,aggregation_s,0.3395,0.3325,1.0211,5.0,9.34,20,20
okumura_hata,total_s,17.425,17.1,1.019,4.01,11.56,20,20
cost231_hata,coverage_s,11.502,11.591,0.9923,2.05,3.06,20,20
cost231_hata,pathloss_s,0.1392,0.1966,0.7085,5.66,11.32,20,20
cost231_hata,render_s,1.0555,1.069,0.9874,3.65,3.25,20,20
cost231_hata,aggregation_s,0.33,0.3385,0.9749,3.21,7.4,20,20
cost231_hata,total_s,17.19,17.54,0.98,1.81,2.55,20,20
itu_p1546,coverage_s,13.547,13.224,1.0244,9.56,3.63,20,20
itu_p1546,pathloss_s,0.9911,0.9808,1.0105,8.63,9.41,20,20
itu_p1546,render_s,0.9515,0.9355,1.0171,8.24,4.8,20,20
itu_p1546,aggregation_s,0.3095,0.287,1.0784,11.53,8.76,20,20
itu_p1546,total_s,19.255,18.72,1.0286,8.78,3.49,20,20
three_gpp_38901,coverage_s,11.466,12.0485,0.9517,5.07,11.36,20,20
three_gpp_38901,pathloss_s,0.0077,0.0137,0.5584,11.07,36.68,20,20
three_gpp_38901,render_s,1.051,1.1085,0.9481,5.52,12.66,20,20
three_gpp_38901,aggregation_s,0.339,0.3925,0.8637,8.98,13.89,20,20
three_gpp_38901,total_s,17.21,18.055,0.9532,4.53,11.1,20,20
