run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T22:01:59,11.248,0.015,1.047,0.048,0.326,16.97,16.9678,5,three_gpp_38901,False,CPU Only
1,False,2026-06-13T22:02:16,11.379,0.0078,1.011,0.015,0.416,17.28,17.2864,5,three_gpp_38901,False,CPU Only
2,False,2026-06-13T22:02:35,12.952,0.0081,1.151,0.014,0.333,19.11,19.1074,5,three_gpp_38901,False,CPU Only
3,False,2026-06-13T22:02:53,12.013,0.0073,1.091,0.014,0.362,17.84,17.8383,5,three_gpp_38901,False,CPU Only
4,False,2026-06-13T22:03:10,11.415,0.0075,1.017,0.015,0.339,17.04,17.0409,5,three_gpp_38901,False,CPU Only
5,False,2026-06-13T22:03:27,11.206,0.0076,0.995,0.014,0.321,16.77,16.7757,5,three_gpp_38901,False,CPU Only
6,False,2026-06-13T22:03:43,10.812,0.0072,0.993,0.017,0.321,16.28,16.2865,5,three_gpp_38901,False,CPU Only
7,False,2026-06-13T22:04:01,11.829,0.0072,1.051,0.014,0.333,17.65,17.6484,5,three_gpp_38901,False,CPU Only
8,False,2026-06-13T22:04:20,13.001,0.0084,1.238,0.015,0.448,19.41,19.4103,5,three_gpp_38901,False,CPU Only
9,False,2026-06-13T22:04:38,11.619,0.0076,1.041,0.017,0.329,17.25,17.2554,5,three_gpp_38901,False,CPU Only
10,False,2026-06-13T22:04:54,11.084,0.0109,1.034,0.014,0.329,16.76,16.7593,5,three_gpp_38901,False,CPU Only
11,False,2026-06-13T22:05:12,11.456,0.0067,1.051,0.017,0.332,17.23,17.2348,5,three_gpp_38901,False,CPU Only
12,False,2026-06-13T22:05:28,11.163,0.0081,1.031,0.014,0.339,16.88,16.8791,5,three_gpp_38901,False,CPU Only
13,False,2026-06-13T22:05:46,11.476,0.0074,1.054,0.015,0.349,17.18,17.1872,5,three_gpp_38901,False,CPU Only
14,False,2026-06-13T22:06:03,11.505,0.0077,1.052,0.017,0.343,17.19,17.1951,5,three_gpp_38901,False,CPU Only
15,False,2026-06-13T22:06:20,11.676,0.0083,1.069,0.015,0.331,17.4,17.3985,5,three_gpp_38901,False,CPU Only
16,False,2026-06-13T22:06:38,11.658,0.0074,1.051,0.014,0.344,17.41,17.4155,5,three_gpp_38901,False,CPU Only
17,False,2026-06-13T22:06:55,11.328,0.0077,1.097,0.017,0.339,17.09,17.093,5,three_gpp_38901,False,CPU Only
18,False,2026-06-13T22:07:12,11.219,0.0075,1.054,0.016,0.349,17.01,17.0088,5,three_gpp_38901,False,CPU Only
19,False,2026-06-13T22:07:30,12.603,0.0089,1.143,0.016,0.35,18.72,18.7179,5,three_gpp_38901,False,CPU Only
20,False,2026-06-13T22:07:48,11.408,0.0077,1.028,0.015,0.334,17.15,17.1484,5,three_gpp_38901,False,CPU Only
