run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T22:08:06,11.577,0.0507,1.045,0.018,0.334,17.31,17.3155,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T22:08:23,11.224,0.0147,1.066,0.014,0.33,16.98,16.9849,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T22:08:40,11.734,0.0145,1.083,0.016,0.331,17.54,17.5385,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T22:08:58,11.527,0.011,1.127,0.014,0.38,17.44,17.4412,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T22:09:16,12.027,0.0102,1.09,0.018,0.322,18.11,18.1138,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T22:09:33,11.681,0.0115,1.076,0.015,0.329,17.5,17.5027,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T22:09:51,12.07,0.0115,1.073,0.015,0.391,18.0,18.0029,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T22:10:08,11.375,0.0113,1.032,0.017,0.324,17.11,17.1071,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T22:10:26,11.581,0.0109,1.023,0.014,0.326,17.33,17.3272,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T22:10:43,11.424,0.0116,1.069,0.016,0.335,17.14,17.1432,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T22:11:00,11.872,0.0117,1.035,0.014,0.394,17.72,17.7173,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T22:11:18,11.663,0.0127,1.0,0.021,0.352,17.43,17.4296,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T22:11:37,12.541,0.0248,1.287,0.015,0.409,19.4,19.4012,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T22:11:58,13.469,0.0312,1.388,0.016,0.398,20.38,20.3785,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T22:12:18,13.911,0.0227,1.293,0.022,0.4,20.78,20.7807,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T22:12:39,13.303,0.0129,1.229,0.022,0.409,20.13,20.1361,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T22:12:59,13.243,0.0243,1.291,0.016,0.433,20.12,20.1215,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T22:13:19,13.74,0.0177,1.226,0.016,0.414,20.49,20.4924,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T22:13:41,14.25,0.0167,1.346,0.018,0.465,21.42,21.4222,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T22:14:01,13.979,0.0166,1.286,0.015,0.411,20.77,20.7696,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T22:14:27,17.038,0.0166,1.543,0.016,0.52,25.28,25.2801,5,three_gpp_38901,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
