atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
303,1,8.174335440482575e-05,-79.04897411,-2.949075583,-79.04897411,-2.949075583,-101.625,-79.048924,-2.949011,-79.048924,-2.949011,-98.3,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.325000000000003,3.325000000000003
304,2,8.399662195440978e-05,-79.04867733,-2.94907506,-79.04867733,-2.94907506,-101.625,-79.048623,-2.949011,-79.048623,-2.949011,-98.25,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.375,3.375
305,3,8.708813908115164e-05,-79.04838056,-2.949074537,-79.04838056,-2.949074537,-101.5625,-79.048321,-2.949011,-79.048321,-2.949011,-98.2,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.362499999999997,3.362499999999997
306,4,9.037263189861871e-05,-79.04808378,-2.949074014,-79.04808378,-2.949074014,-101.5625,-79.048019,-2.949011,-79.048019,-2.949011,-98.15,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.4124999999999943,3.4124999999999943
307,5,9.309202479531836e-05,-79.047787,-2.949073491,-79.047787,-2.949073491,-101.5,-79.047718,-2.949011,-79.047718,-2.949011,-98.1,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.4000000000000057,3.4000000000000057
308,6,9.66877318448538e-05,-79.04749022,-2.949072967,-79.04749022,-2.949072967,-101.5,-79.047416,-2.949011,-79.047416,-2.949011,-98.05,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.450000000000003,3.450000000000003
309,7,0.00010042947145725843,-79.04719344,-2.949072444,-79.04719344,-2.949072444,-101.4375,-79.047114,-2.949011,-79.047114,-2.949011,-97.99,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.447500000000005,3.447500000000005
310,8,0.00010430092924215458,-79.04689666,-2.949071921,-79.04689666,-2.949071921,-101.375,-79.046812,-2.949011,-79.046812,-2.949011,-97.94,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.4350000000000023,3.4350000000000023
311,9,0.00010745907132591414,-79.04659988,-2.949071397,-79.04659988,-2.949071397,-101.3125,-79.046511,-2.949011,-79.046511,-2.949011,-97.89,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.4224999999999994,3.4224999999999994
312,10,0.00011153289258642846,-79.0463031,-2.949070873,-79.0463031,-2.949070873,-101.25,-79.046209,-2.949011,-79.046209,-2.949011,-97.84,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.4099999999999966,3.4099999999999966
313,11,0.00011570170655942397,-79.04600632,-2.94907035,-79.04600632,-2.94907035,-101.125,-79.045907,-2.949011,-79.045907,-2.949011,-97.79,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.3349999999999937,3.3349999999999937
314,12,0.0001190841294024977,-79.04570954,-2.949069826,-79.04570954,-2.949069826,-101.125,-79.045606,-2.949011,-79.045606,-2.949011,-97.74,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.385000000000005,3.385000000000005
315,13,0.00012340121881370823,-79.04541276,-2.949069302,-79.04541276,-2.949069302,-101.0625,-79.045304,-2.949011,-79.045304,-2.949011,-97.69,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.3725000000000023,3.3725000000000023
