atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
0,5248,7.444416119459078e-05,-78.86574692,-2.910106356,-78.86574692,-2.910106356,-102.0,-78.86571,-2.910171,-78.86571,-2.910171,-109.96,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.959999999999994,7.959999999999994
1,5249,0.0001248149825102775,-78.86533329,-2.910105569,-78.86533329,-2.910105569,-102.0,-78.865227,-2.910171,-78.865227,-2.910171,-109.96,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.959999999999994,7.959999999999994
2,5250,0.00018679116446896387,-78.86491966,-2.910104782,-78.86491966,-2.910104782,-102.0,-78.864745,-2.910171,-78.864745,-2.910171,-109.96,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.959999999999994,7.959999999999994
4,5537,0.0001056754300533088,-78.87112491,-2.909700696,-78.87112491,-2.909700696,-102.0,-78.87102,-2.909688,-78.87102,-2.909688,-103.86,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-1.8599999999999994,1.8599999999999994
5,5538,0.00017468654876549272,-78.87071128,-2.909699911,-78.87071128,-2.909699911,-102.0,-78.870537,-2.909688,-78.870537,-2.909688,-109.93,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.930000000000007,7.930000000000007
7,5539,0.00017029426496348714,-78.86988402,-2.909698341,-78.86988402,-2.909698341,-102.0,-78.870054,-2.909688,-78.870054,-2.909688,-84.23,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.769999999999996,17.769999999999996
8,5540,0.00010107275367549557,-78.86947038,-2.909697556,-78.86947038,-2.909697556,-101.9375,-78.869571,-2.909688,-78.869571,-2.909688,-84.22,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.7175,17.7175
9,5541,3.342118190979543e-05,-78.86905675,-2.90969677,-78.86905675,-2.90969677,-101.9375,-78.869089,-2.909688,-78.869089,-2.909688,-84.21,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.727500000000006,17.727500000000006
10,5542,3.7969127263212584e-05,-78.86864312,-2.909695985,-78.86864312,-2.909695985,-101.9375,-78.868606,-2.909688,-78.868606,-2.909688,-84.21,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.727500000000006,17.727500000000006
11,5543,0.00010673305815246434,-78.86822949,-2.909695199,-78.86822949,-2.909695199,-101.9375,-78.868123,-2.909688,-78.868123,-2.909688,-109.9,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.962500000000006,7.962500000000006
12,5544,0.00017497755903113629,-78.86781586,-2.909694413,-78.86781586,-2.909694413,-101.9375,-78.867641,-2.909688,-78.867641,-2.909688,-84.19,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.747500000000002,17.747500000000002
14,5545,0.00016946915731914783,-78.8669886,-2.909692841,-78.8669886,-2.909692841,-101.875,-78.867158,-2.909688,-78.867158,-2.909688,-84.19,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.685000000000002,17.685000000000002
15,5546,0.00010011215672802896,-78.86657497,-2.909692055,-78.86657497,-2.909692055,-101.875,-78.866675,-2.909688,-78.866675,-2.909688,-84.18,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.694999999999993,17.694999999999993
16,5547,3.182821740847885e-05,-78.86616134,-2.909691268,-78.86616134,-2.909691268,-101.875,-78.866193,-2.909688,-78.866193,-2.909688,-84.18,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.694999999999993,17.694999999999993
17,5548,3.778154788341804e-05,-78.8657477,-2.909690481,-78.8657477,-2.909690481,-101.875,-78.86571,-2.909688,-78.86571,-2.909688,-84.18,94fda027-a5c4-46bc-a0db-69e6471c8ba3,17.694999999999993,17.694999999999993
18,5549,0.00010708341573132522,-78.86533407,-2.909689695,-78.86533407,-2.909689695,-101.875,-78.865227,-2.909688,-78.865227,-2.909688,-104.92,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-3.0450000000000017,3.0450000000000017
19,5550,0.00017544234969455588,-78.86492044,-2.909688908,-78.86492044,-2.909688908,-101.875,-78.864745,-2.909688,-78.864745,-2.909688,-108.46,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-6.584999999999994,6.584999999999994
