atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
0,39729,4.8881904586925956e-05,-79.00906243,-2.908181764,-79.00906243,-2.908181764,-102.0,-79.009034,-2.908142,-79.009034,-2.908142,-106.22,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.219999999999999,4.219999999999999
1,39730,4.80627501904621e-05,-79.00881962,-2.908181334,-79.00881962,-2.908181334,-101.875,-79.008792,-2.908142,-79.008792,-2.908142,-105.79,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.9150000000000063,3.9150000000000063
2,39731,4.6691710284066166e-05,-79.00857682,-2.908180903,-79.00857682,-2.908180903,-101.875,-79.008551,-2.908142,-79.008551,-2.908142,-105.35,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.4749999999999943,3.4749999999999943
3,39732,4.5349475016053e-05,-79.00833401,-2.908180472,-79.00833401,-2.908180472,-101.8125,-79.00831,-2.908142,-79.00831,-2.908142,-104.92,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.1075000000000017,3.1075000000000017
4,39733,4.456341396758529e-05,-79.00809121,-2.908180042,-79.00809121,-2.908180042,-101.8125,-79.008068,-2.908142,-79.008068,-2.908142,-104.48,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.667500000000004,2.667500000000004
5,39734,4.327293982122847e-05,-79.0078484,-2.908179611,-79.0078484,-2.908179611,-101.8125,-79.007827,-2.908142,-79.007827,-2.908142,-104.05,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.237499999999997,2.237499999999997
6,39735,4.202989888248174e-05,-79.0076056,-2.90817918,-79.0076056,-2.90817918,-101.9375,-79.007586,-2.908142,-79.007586,-2.908142,-103.61,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.6724999999999994,1.6724999999999994
7,39759,3.058785667977816e-05,-79.0017783,-2.908168824,-79.0017783,-2.908168824,-102.0,-79.001793,-2.908142,-79.001793,-2.908142,-100.72,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.2800000000000011,1.2800000000000011
8,39760,3.113065634224948e-05,-79.00153549,-2.908168392,-79.00153549,-2.908168392,-101.9375,-79.001552,-2.908142,-79.001552,-2.908142,-101.05,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.8875000000000028,0.8875000000000028
9,39762,3.1893606399666464e-05,-79.00104988,-2.908167527,-79.00104988,-2.908167527,-101.9375,-79.001069,-2.908142,-79.001069,-2.908142,-101.74,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.19750000000000512,0.19750000000000512
10,39763,3.2671171158923934e-05,-79.00080708,-2.908167095,-79.00080708,-2.908167095,-101.875,-79.000828,-2.908142,-79.000828,-2.908142,-102.13,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.25499999999999545,0.25499999999999545
11,39764,3.286368769126676e-05,-79.00056428,-2.908166663,-79.00056428,-2.908166663,-102.0,-79.000586,-2.908142,-79.000586,-2.908142,-102.53,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.5300000000000011,0.5300000000000011
12,40027,4.959966339609201e-05,-79.00954846,-2.907938503,-79.00954846,-2.907938503,-101.75,-79.009516,-2.907901,-79.009516,-2.907901,-106.75,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.0,5.0
13,40028,4.810788691656972e-05,-79.00930566,-2.907938072,-79.00930566,-2.907938072,-101.625,-79.009275,-2.907901,-79.009275,-2.907901,-106.31,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.685000000000002,4.685000000000002
14,40029,4.663645209905232e-05,-79.00906285,-2.907937642,-79.00906285,-2.907937642,-101.4375,-79.009034,-2.907901,-79.009034,-2.907901,-105.86,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.422499999999999,4.422499999999999
15,40030,4.580435591594345e-05,-79.00882005,-2.907937211,-79.00882005,-2.907937211,-101.3125,-79.008792,-2.907901,-79.008792,-2.907901,-105.4,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.087500000000006,4.087500000000006
16,40031,4.437135969126134e-05,-79.00857724,-2.907936781,-79.00857724,-2.907936781,-101.125,-79.008551,-2.907901,-79.008551,-2.907901,-104.94,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.8149999999999977,3.8149999999999977
17,40032,4.2975994464515125e-05,-79.00833444,-2.90793635,-79.00833444,-2.90793635,-101.125,-79.00831,-2.907901,-79.00831,-2.907901,-104.48,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.355000000000004,3.355000000000004
18,40033,4.216854469183983e-05,-79.00809164,-2.907935919,-79.00809164,-2.907935919,-101.0625,-79.008068,-2.907901,-79.008068,-2.907901,-104.02,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.957499999999996,2.957499999999996
19,40034,4.081715351145407e-05,-79.00784883,-2.907935489,-79.00784883,-2.907935489,-101.0625,-79.007827,-2.907901,-79.007827,-2.907901,-103.55,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.487499999999997,2.487499999999997
20,40035,3.9511368795379226e-05,-79.00760603,-2.907935058,-79.00760603,-2.907935058,-101.125,-79.007586,-2.907901,-79.007586,-2.907901,-103.09,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.9650000000000034,1.9650000000000034
21,40036,3.873220273821804e-05,-79.00736322,-2.907934627,-79.00736322,-2.907934627,-101.3125,-79.007344,-2.907901,-79.007344,-2.907901,-102.64,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.3275000000000006,1.3275000000000006
22,40037,3.748907595830618e-05,-79.00712042,-2.907934196,-79.00712042,-2.907934196,-101.75,-79.007103,-2.907901,-79.007103,-2.907901,-102.18,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.4300000000000068,0.4300000000000068
23,40058,2.7166139310770548e-05,-79.00202153,-2.907925135,-79.00202153,-2.907925135,-101.5,-79.002034,-2.907901,-79.002034,-2.907901,-99.7,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.7999999999999972,1.7999999999999972
24,40059,2.7667040124338505e-05,-79.00177873,-2.907924703,-79.00177873,-2.907924703,-101.3125,-79.001793,-2.907901,-79.001793,-2.907901,-100.04,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.2724999999999937,1.2724999999999937
25,40060,2.8286142213103205e-05,-79.00153592,-2.907924271,-79.00153592,-2.907924271,-101.5,-79.001552,-2.907901,-79.001552,-2.907901,-100.4,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.0999999999999943,1.0999999999999943
26,40061,2.8399900019890016e-05,-79.00129312,-2.907923839,-79.00129312,-2.907923839,-101.3125,-79.00131,-2.907901,-79.00131,-2.907901,-100.78,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.5324999999999989,0.5324999999999989
27,40062,2.9177815822658962e-05,-79.00105031,-2.907923406,-79.00105031,-2.907923406,-101.1875,-79.001069,-2.907901,-79.001069,-2.907901,-101.17,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.017499999999998295,0.017499999999998295
28,40063,3.0044912645652687e-05,-79.00080751,-2.907922974,-79.00080751,-2.907922974,-101.3125,-79.000828,-2.907901,-79.000828,-2.907901,-101.59,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.2775000000000034,0.2775000000000034
29,40064,3.0287321830810472e-05,-79.00056471,-2.907922542,-79.00056471,-2.907922542,-101.375,-79.000586,-2.907901,-79.000586,-2.907901,-102.01,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.6350000000000051,0.6350000000000051
30,40065,3.1292169638226465e-05,-79.0003219,-2.907922109,-79.0003219,-2.907922109,-101.5625,-79.000345,-2.907901,-79.000345,-2.907901,-102.48,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.917500000000004,0.917500000000004
31,40066,3.236585127863984e-05,-79.0000791,-2.907921677,-79.0000791,-2.907921677,-101.75,-79.000104,-2.907901,-79.000104,-2.907901,-102.95,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.2000000000000028,1.2000000000000028
32,40067,3.271558551739943e-05,-78.9998363,-2.907921244,-78.9998363,-2.907921244,-101.875,-78.999862,-2.907901,-78.999862,-2.907901,-103.46,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.5849999999999937,1.5849999999999937
