atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
0,26892,0.00012784859828216688,-78.99374763,-2.918407572,-78.99374763,-2.918407572,-102.0,-78.993828,-2.918507,-78.993828,-2.918507,-98.19,12478835-e640-47cd-a90e-e82509a23dc1,3.8100000000000023,3.8100000000000023
1,26893,0.00012932411761086335,-78.99350483,-2.918407136,-78.99350483,-2.918407136,-102.0,-78.993587,-2.918507,-78.993587,-2.918507,-98.11,12478835-e640-47cd-a90e-e82509a23dc1,3.8900000000000006,3.8900000000000006
2,26894,0.00013080844889369598,-78.99326203,-2.918406701,-78.99326203,-2.918406701,-101.9375,-78.993346,-2.918507,-78.993346,-2.918507,-98.02,12478835-e640-47cd-a90e-e82509a23dc1,3.917500000000004,3.917500000000004
3,26895,0.00013166316351370292,-78.99301922,-2.918406265,-78.99301922,-2.918406265,-101.9375,-78.993104,-2.918507,-78.993104,-2.918507,-97.95,12478835-e640-47cd-a90e-e82509a23dc1,3.987499999999997,3.987499999999997
4,26896,0.00013315954828773104,-78.99277642,-2.91840583,-78.99277642,-2.91840583,-101.875,-78.992863,-2.918507,-78.992863,-2.918507,-97.88,12478835-e640-47cd-a90e-e82509a23dc1,3.9950000000000045,3.9950000000000045
5,26897,0.00013467208818576694,-78.99253361,-2.918405394,-78.99253361,-2.918405394,-101.8125,-78.992622,-2.918507,-78.992622,-2.918507,-97.77,12478835-e640-47cd-a90e-e82509a23dc1,4.042500000000004,4.042500000000004
6,26898,0.00013552647661424621,-78.99229081,-2.918404958,-78.99229081,-2.918404958,-101.875,-78.99238,-2.918507,-78.99238,-2.918507,-97.76,12478835-e640-47cd-a90e-e82509a23dc1,4.114999999999995,4.114999999999995
7,26899,0.00013704939083616853,-78.992048,-2.918404523,-78.992048,-2.918404523,-101.8125,-78.992139,-2.918507,-78.992139,-2.918507,-97.71,12478835-e640-47cd-a90e-e82509a23dc1,4.102500000000006,4.102500000000006
8,26900,0.00013857462094425576,-78.9918052,-2.918404087,-78.9918052,-2.918404087,-101.8125,-78.991898,-2.918507,-78.991898,-2.918507,-97.66,12478835-e640-47cd-a90e-e82509a23dc1,4.152500000000003,4.152500000000003
9,26901,0.0001394411987267608,-78.99156239,-2.918403651,-78.99156239,-2.918403651,-101.8125,-78.991656,-2.918507,-78.991656,-2.918507,-97.64,12478835-e640-47cd-a90e-e82509a23dc1,4.172499999999999,4.172499999999999
10,26902,0.00014097657367447542,-78.99131959,-2.918403215,-78.99131959,-2.918403215,-101.875,-78.991415,-2.918507,-78.991415,-2.918507,-97.62,12478835-e640-47cd-a90e-e82509a23dc1,4.2549999999999955,4.2549999999999955
11,26903,0.0001425262966652923,-78.99107678,-2.918402779,-78.99107678,-2.918402779,-101.8125,-78.991174,-2.918507,-78.991174,-2.918507,-97.54,12478835-e640-47cd-a90e-e82509a23dc1,4.272499999999994,4.272499999999994
12,26904,0.0001433911017050657,-78.99083398,-2.918402343,-78.99083398,-2.918402343,-101.8125,-78.990932,-2.918507,-78.990932,-2.918507,-97.56,12478835-e640-47cd-a90e-e82509a23dc1,4.252499999999998,4.252499999999998
13,26905,0.00014494333737554693,-78.99059118,-2.918401907,-78.99059118,-2.918401907,-101.8125,-78.990691,-2.918507,-78.990691,-2.918507,-97.58,12478835-e640-47cd-a90e-e82509a23dc1,4.232500000000002,4.232500000000002
14,26906,0.0001465094766174596,-78.99034837,-2.918401471,-78.99034837,-2.918401471,-101.875,-78.99045,-2.918507,-78.99045,-2.918507,-97.57,12478835-e640-47cd-a90e-e82509a23dc1,4.305000000000007,4.305000000000007
15,26907,0.00014737871666099317,-78.99010557,-2.918401035,-78.99010557,-2.918401035,-101.875,-78.990208,-2.918507,-78.990208,-2.918507,-97.66,12478835-e640-47cd-a90e-e82509a23dc1,4.215000000000003,4.215000000000003
16,26908,0.00014895351758441647,-78.98986276,-2.918400599,-78.98986276,-2.918400599,-101.8125,-78.989967,-2.918507,-78.989967,-2.918507,-97.78,12478835-e640-47cd-a90e-e82509a23dc1,4.032499999999999,4.032499999999999
17,26909,0.0001498257649594295,-78.98961996,-2.918400162,-78.98961996,-2.918400162,-101.875,-78.989725,-2.918507,-78.989725,-2.918507,-97.88,12478835-e640-47cd-a90e-e82509a23dc1,3.9950000000000045,3.9950000000000045
